,song,placement,date,year,Percent Whole,hover
165,Savor,0.16,08-05-1983,1983,16.0,16.0% into Show
166,Savor,0.23809523809523808,06-07-1983,1983,23.81,23.81% into Show
167,Savor,0.2916666666666667,07-07-1983,1983,29.17,29.17% into Show
168,Savor,0.2727272727272727,10-07-1983,1983,27.27,27.27% into Show
169,Savor,0.5,11-07-1983,1983,50.0,50.0% into Show
170,Savor,0.3,14-07-1983,1983,30.0,30.0% into Show
171,Savor,0.3333333333333333,15-07-1983,1983,33.33,33.33% into Show
172,Savor,0.3333333333333333,16-07-1983,1983,33.33,33.33% into Show
173,Savor,0.5,19-07-1983,1983,50.0,50.0% into Show
174,Savor,0.3125,01-06-1986,1986,31.25,31.25% into Show
175,Savor,0.2,08-06-1986,1986,20.0,20.0% into Show
176,Savor,0.85,12-06-1986,1986,85.0,85.0% into Show
177,Savor,0.88,26-07-1986,1986,88.0,88.0% into Show
178,Savor,0.16666666666666666,29-07-1986,1986,16.67,16.67% into Show
179,Savor,0.88,01-08-1986,1986,88.0,88.0% into Show
180,Savor,0.7222222222222222,02-08-1986,1986,72.22,72.22% into Show
181,Savor,0.375,17-08-1986,1986,37.5,37.5% into Show
182,Savor,0.6666666666666666,26-09-1986,1986,66.67,66.67% into Show
183,Savor,0.5909090909090909,04-10-1986,1986,59.09,59.09% into Show
184,Savor,0.3333333333333333,01-11-1986,1986,33.33,33.33% into Show
185,Savor,0.6428571428571429,03-03-1987,1987,64.29,64.29% into Show
186,Savor,0.64,05-03-1987,1987,64.0,64.0% into Show
187,Savor,0.64,07-03-1987,1987,64.0,64.0% into Show
188,Savor,0.6296296296296297,09-03-1987,1987,62.96,62.96% into Show
189,Savor,0.6153846153846154,10-03-1987,1987,61.54,61.54% into Show
190,Savor,0.6153846153846154,12-03-1987,1987,61.54,61.54% into Show
191,Savor,0.46153846153846156,13-03-1987,1987,46.15,46.15% into Show
192,Savor,0.6153846153846154,14-03-1987,1987,61.54,61.54% into Show
193,Savor,0.6153846153846154,16-03-1987,1987,61.54,61.54% into Show
194,Savor,0.5769230769230769,17-03-1987,1987,57.69,57.69% into Show
195,Savor,0.14285714285714285,19-03-1987,1987,14.29,14.29% into Show
196,Savor,0.5185185185185185,20-03-1987,1987,51.85,51.85% into Show
197,Savor,0.5517241379310345,22-03-1987,1987,55.17,55.17% into Show
198,Savor,0.5555555555555556,24-03-1987,1987,55.56,55.56% into Show
199,Savor,0.5357142857142857,25-03-1987,1987,53.57,53.57% into Show
200,Savor,0.5769230769230769,26-03-1987,1987,57.69,57.69% into Show
201,Savor,0.5769230769230769,28-03-1987,1987,57.69,57.69% into Show
202,Savor,0.6,29-03-1987,1987,60.0,60.0% into Show
203,Savor,0.5555555555555556,01-04-1987,1987,55.56,55.56% into Show
204,Savor,0.5925925925925926,02-04-1987,1987,59.26,59.26% into Show
205,Savor,0.5769230769230769,06-04-1987,1987,57.69,57.69% into Show
206,Savor,0.6,24-04-1987,1987,60.0,60.0% into Show
207,Savor,0.5925925925925926,26-04-1987,1987,59.26,59.26% into Show
208,Savor,0.5769230769230769,29-04-1987,1987,57.69,57.69% into Show
209,Savor,0.5384615384615384,30-04-1987,1987,53.85,53.85% into Show
210,Savor,0.5217391304347826,03-05-1987,1987,52.17,52.17% into Show
211,Savor,0.5,04-05-1987,1987,50.0,50.0% into Show
212,Savor,0.6,06-05-1987,1987,60.0,60.0% into Show
213,Savor,0.48148148148148145,07-05-1987,1987,48.15,48.15% into Show
214,Savor,0.52,08-05-1987,1987,52.0,52.0% into Show
215,Savor,0.5416666666666666,10-05-1987,1987,54.17,54.17% into Show
216,Savor,0.5652173913043478,12-05-1987,1987,56.52,56.52% into Show
217,Savor,0.5,13-05-1987,1987,50.0,50.0% into Show
218,Savor,0.5416666666666666,14-05-1987,1987,54.17,54.17% into Show
219,Savor,0.55,16-05-1987,1987,55.0,55.0% into Show
220,Savor,0.5454545454545454,17-05-1987,1987,54.55,54.55% into Show
221,Savor,0.5416666666666666,20-05-1987,1987,54.17,54.17% into Show
222,Savor,0.5,21-05-1987,1987,50.0,50.0% into Show
223,Savor,0.5217391304347826,23-05-1987,1987,52.17,52.17% into Show
224,Savor,0.65,24-05-1987,1987,65.0,65.0% into Show
225,Savor,0.48,13-06-1987,1987,48.0,48.0% into Show
226,Savor,0.7058823529411765,20-06-1987,1987,70.59,70.59% into Show
227,Savor,0.5909090909090909,26-06-1987,1987,59.09,59.09% into Show
228,Savor,0.631578947368421,27-06-1987,1987,63.16,63.16% into Show
229,Savor,0.631578947368421,30-06-1987,1987,63.16,63.16% into Show
230,Savor,0.5,04-07-1987,1987,50.0,50.0% into Show
231,Savor,0.6111111111111112,10-07-1987,1987,61.11,61.11% into Show
232,Savor,0.6842105263157895,11-07-1987,1987,68.42,68.42% into Show
233,Savor,0.6,13-07-1987,1987,60.0,60.0% into Show
234,Savor,0.6111111111111112,14-07-1987,1987,61.11,61.11% into Show
235,Savor,0.6666666666666666,16-07-1987,1987,66.67,66.67% into Show
236,Savor,0.5714285714285714,17-07-1987,1987,57.14,57.14% into Show
237,Savor,0.6666666666666666,18-07-1987,1987,66.67,66.67% into Show
238,Savor,0.5555555555555556,19-07-1987,1987,55.56,55.56% into Show
239,Savor,0.6,21-07-1987,1987,60.0,60.0% into Show
240,Savor,0.5238095238095238,23-07-1987,1987,52.38,52.38% into Show
241,Savor,0.5238095238095238,24-07-1987,1987,52.38,52.38% into Show
242,Savor,0.5454545454545454,25-07-1987,1987,54.55,54.55% into Show
243,Savor,0.6111111111111112,26-07-1987,1987,61.11,61.11% into Show
244,Savor,0.09090909090909091,14-08-1987,1987,9.09,9.09% into Show
245,Savor,0.08333333333333333,15-08-1987,1987,8.33,8.33% into Show
246,Savor,0.5,16-08-1987,1987,50.0,50.0% into Show
247,Savor,0.5,19-08-1987,1987,50.0,50.0% into Show
248,Savor,0.47619047619047616,20-08-1987,1987,47.62,47.62% into Show
249,Savor,0.55,22-08-1987,1987,55.0,55.0% into Show
250,Savor,0.6666666666666666,23-08-1987,1987,66.67,66.67% into Show
251,Savor,0.4583333333333333,27-08-1987,1987,45.83,45.83% into Show
252,Savor,0.56,28-08-1987,1987,56.0,56.0% into Show
253,Savor,0.64,29-08-1987,1987,64.0,64.0% into Show
254,Savor,0.55,31-08-1987,1987,55.0,55.0% into Show
255,Savor,0.5652173913043478,01-09-1987,1987,56.52,56.52% into Show
256,Savor,0.6190476190476191,02-09-1987,1987,61.9,61.9% into Show
257,Savor,0.5454545454545454,04-09-1987,1987,54.55,54.55% into Show
258,Savor,0.5833333333333334,05-09-1987,1987,58.33,58.33% into Show
259,Savor,0.5,08-09-1987,1987,50.0,50.0% into Show
260,Savor,0.52,10-09-1987,1987,52.0,52.0% into Show
261,Savor,0.625,11-09-1987,1987,62.5,62.5% into Show
262,Savor,0.7894736842105263,12-09-1987,1987,78.95,78.95% into Show
263,Savor,0.4375,07-05-1988,1988,43.75,43.75% into Show
264,Savor,0.47619047619047616,11-05-1988,1988,47.62,47.62% into Show
265,Savor,0.5384615384615384,26-08-1988,1988,53.85,53.85% into Show
266,Savor,0.35,28-08-1988,1988,35.0,35.0% into Show
267,Savor,0.3181818181818182,31-08-1988,1988,31.82,31.82% into Show
268,Savor,0.35,02-09-1988,1988,35.0,35.0% into Show
269,Savor,0.35,03-09-1988,1988,35.0,35.0% into Show
270,Savor,0.38095238095238093,05-09-1988,1988,38.1,38.1% into Show
271,Savor,0.3333333333333333,08-09-1988,1988,33.33,33.33% into Show
272,Savor,0.3333333333333333,09-09-1988,1988,33.33,33.33% into Show
273,Savor,0.3333333333333333,10-09-1988,1988,33.33,33.33% into Show
274,Savor,0.3333333333333333,11-09-1988,1988,33.33,33.33% into Show
275,Savor,0.3333333333333333,12-09-1988,1988,33.33,33.33% into Show
276,Savor,0.3333333333333333,13-09-1988,1988,33.33,33.33% into Show
277,Savor,0.3181818181818182,14-09-1988,1988,31.82,31.82% into Show
278,Savor,0.3181818181818182,16-09-1988,1988,31.82,31.82% into Show
279,Savor,0.3181818181818182,17-09-1988,1988,31.82,31.82% into Show
280,Savor,0.3181818181818182,18-09-1988,1988,31.82,31.82% into Show
